trial_type,trial_index,trial_number,time_elapsed,random_id,condition,participant_id,age,gender_id,mus_exp,inst_exp,years_exp,mus_listening,rt,stimulus,response,correct_response,practice,correct,congruent,sound_type,audio,file_name,participant_is_group_member
image-keyboard-response,478,79,592589,pztax6wgqwg,ono,badger,21,female,no,no,0,3,619,stimuli/pictures/drop_single_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/motor_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,484,80,596628,pztax6wgqwg,ono,badger,21,female,no,no,0,3,534,stimuli/pictures/cough_wom_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drop_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,490,81,600834,pztax6wgqwg,ono,badger,21,female,no,no,0,3,927,stimuli/pictures/hiccup_man_1.jpg,1,0,NA,FALSE,no,sound,stimuli/sounds/cough_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,496,82,605088,pztax6wgqwg,ono,badger,21,female,no,no,0,3,531,stimuli/pictures/hiccup_man_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/drop_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,502,83,609551,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1170,stimuli/pictures/drop_single_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drop_sound_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,508,84,613360,pztax6wgqwg,ono,badger,21,female,no,no,0,3,525,stimuli/pictures/drop_multi_2.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/drop_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,515,85,618878,pztax6wgqwg,ono,badger,21,female,no,no,0,3,587,stimuli/pictures/cough_man_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/cough_label_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,521,86,622961,pztax6wgqwg,ono,badger,21,female,no,no,0,3,590,stimuli/pictures/dog_york_1.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/motor_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,527,87,627000,pztax6wgqwg,ono,badger,21,female,no,no,0,3,641,stimuli/pictures/cough_man_1.jpg,1,1,NA,TRUE,yes,sound,stimuli/sounds/cough_label_A.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
image-keyboard-response,533,88,631662,pztax6wgqwg,ono,badger,21,female,no,no,0,3,1111,stimuli/pictures/drop_single_2.jpg,0,0,NA,TRUE,no,sound,stimuli/sounds/hiccup_sound_B.wav,/Users/martincz/GitHub/COGS119/group_wi26_motivated_cues/analysis/../data/raw_data/pztax6wgqwg_1772138165780.csv,FALSE
